iter	Passed	Remaining
0	11	3472
1	23	3538
2	36	3718
3	46	3485
4	53	3211
5	59	2998
6	64	2769
7	68	2566
8	73	2420
9	76	2278
10	80	2159
11	83	2057
12	86	1966
13	90	1895
14	93	1822
15	96	1762
16	100	1708
17	103	1663
18	106	1618
19	109	1572
20	113	1543
21	116	1514
22	120	1484
23	123	1457
24	127	1435
25	130	1415
26	134	1398
27	138	1379
28	142	1361
29	145	1346
30	149	1329
31	152	1314
32	156	1300
33	160	1287
34	164	1275
35	167	1264
36	171	1253
37	175	1239
38	179	1231
39	183	1223
40	187	1214
41	191	1206
42	195	1199
43	199	1191
44	203	1183
45	207	1175
46	211	1168
47	215	1161
48	219	1155
49	223	1147
50	227	1140
51	230	1132
52	235	1126
53	239	1120
54	243	1113
55	246	1105
56	250	1099
57	254	1091
58	257	1083
59	261	1076
60	264	1068
61	268	1062
62	272	1056
63	276	1050
64	280	1044
65	284	1039
66	288	1034
67	293	1029
68	296	1023
69	300	1018
70	304	1012
71	308	1007
72	312	1001
73	316	997
74	320	991
75	324	986
76	328	980
77	332	975
78	336	969
79	339	964
80	343	958
81	347	953
82	351	949
83	355	944
84	359	939
85	364	935
86	368	931
87	372	928
88	376	923
89	381	919
90	385	914
91	389	910
92	399	920
93	405	918
94	409	914
95	413	908
96	417	903
97	421	898
98	424	892
99	428	886
100	431	880
101	435	874
102	439	869
103	442	863
104	446	859
105	450	853
106	453	848
107	457	843
108	461	838
109	465	834
110	469	829
111	473	824
112	477	819
113	481	814
114	485	809
115	489	805
116	493	801
117	497	796
118	501	791
119	505	787
120	509	782
121	513	778
122	517	773
123	521	768
124	524	764
125	528	759
126	532	754
127	536	750
128	540	745
129	544	741
130	548	736
131	552	732
132	556	727
133	560	723
134	564	718
135	568	714
136	572	710
137	576	706
138	580	702
139	585	697
140	588	693
141	592	688
142	597	684
143	601	680
144	605	676
145	609	671
146	612	667
147	616	662
148	620	658
149	624	653
150	627	648
151	631	644
152	635	639
153	639	635
154	643	631
155	648	627
156	651	622
157	655	618
158	659	613
159	663	609
160	667	605
161	671	600
162	675	596
163	679	592
164	683	587
165	686	583
166	690	578
167	694	574
168	698	570
169	702	566
170	707	562
171	711	558
172	715	554
173	719	550
174	724	546
175	727	541
176	732	537
177	735	533
178	740	529
179	743	524
180	747	520
181	751	516
182	755	511
183	758	507
184	762	502
185	766	498
186	770	494
187	773	489
188	777	485
189	791	487
190	798	484
191	805	482
192	812	479
193	818	476
194	824	473
195	831	470
196	837	467
197	842	463
198	847	459
199	852	456
200	856	451
201	860	447
202	863	442
203	867	438
204	871	433
205	874	428
206	878	424
207	882	419
208	886	415
209	890	411
210	894	406
211	897	402
212	901	397
213	906	393
214	910	389
215	914	385
216	918	380
217	922	376
218	926	372
219	930	367
220	934	363
221	937	359
222	942	354
223	945	350
224	949	346
225	953	341
226	957	337
227	961	333
228	965	328
229	969	324
230	973	320
231	977	316
232	981	311
233	984	307
234	988	302
235	992	298
236	996	294
237	1000	290
238	1004	285
239	1008	281
240	1011	277
241	1015	272
242	1020	268
243	1024	264
244	1031	261
245	1035	256
246	1041	252
247	1045	248
248	1049	244
249	1053	240
250	1058	236
251	1062	231
252	1066	227
253	1070	223
254	1074	219
255	1077	214
256	1082	210
257	1085	206
258	1089	201
259	1093	197
260	1097	193
261	1101	189
262	1105	184
263	1108	180
264	1112	176
265	1116	172
266	1120	167
267	1124	163
268	1128	159
269	1132	155
270	1136	150
271	1140	146
272	1144	142
273	1148	138
274	1152	134
275	1156	129
276	1159	125
277	1163	121
278	1167	117
279	1171	112
280	1175	108
281	1179	104
282	1183	100
283	1187	96
284	1190	91
285	1194	87
286	1198	83
287	1203	79
288	1207	75
289	1212	71
290	1216	66
291	1221	62
292	1225	58
293	1229	54
294	1233	50
295	1237	45
296	1240	41
297	1245	37
298	1249	33
299	1253	29
300	1257	25
301	1261	20
302	1265	16
303	1269	12
304	1273	8
305	1278	4
306	1282	0
