gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),TenureBins,CommunicationType,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,TotalInternetServices,Churn
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.1585412022082346,-1.7929964339347837,0,1,0,0,0,0,1,0,0,0,0,1,1,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,-0.23949170939694744,0.25480918212111014,0,0,0,1,0,1,0,1,0,0,0,0,2,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-0.34266505070423847,-1.3751729725181985,0,0,0,1,0,1,1,0,0,0,0,1,2,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,-0.731078881445567,0.23380739058743616,0,0,0,0,0,1,0,1,1,0,0,0,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.21354490631159703,-1.2394903099532972,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.147890874439329,-0.3502802297569399,0,0,0,1,1,0,0,1,0,1,1,1,3,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.8100319801030564,0.28007066220235394,0,0,1,1,1,0,1,0,0,1,0,1,2,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.1620203559011713,-0.9231010633053621,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.3118578923422646,0.6644589520142309,0,1,0,1,1,0,0,1,1,1,1,1,4,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,-0.2660774475882749,0.7901409574318198,0,0,1,1,0,1,1,0,0,0,0,0,2,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-0.4730762241120731,-0.5584034846644846,0,1,1,1,0,1,0,0,0,0,0,1,1,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,-1.5434051960955182,-0.8829093368324057,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.1702131268519078,1.2808329973688526,0,1,0,1,1,0,0,1,0,1,1,0,3,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.2768859573890228,1.1538648006483365,0,0,0,1,1,0,1,1,0,1,1,1,4,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.334098859503876,0.5516311086628509,0,0,0,1,0,1,0,1,1,1,1,1,5,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.5796380944011639,1.6484317534557584,0,1,1,1,1,1,1,1,1,1,1,0,6,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,-1.4825303431135377,-0.2027417056724216,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.3722013314197228,1.5708552179471151,0,0,1,1,1,1,0,1,0,1,1,0,4,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,-0.2976835212402813,-0.6207816784096458,0,1,1,1,0,0,0,1,1,0,0,0,2,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.8405695345836139,0.2434002944321925,0,0,0,1,0,0,1,1,0,0,1,1,3,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.8212076591351676,-1.7129966084454245,1,0,0,0,0,0,0,1,0,0,1,1,2,1
